Team,DisplayName,Division,Logo,Color
Air Force Falcons,Air Force,A,Air_Force.png,#0061aa
Akron Zips,Akron Zips,A,Akron.png,#000d40
Alabama A&M Bulldogs,Alabama Bulldogs,AA,Alabama_A&M.png,#7e1616
Alabama Crimson Tide,Alabama Crimson,A,Alabama.png,#a80532
Alabama State Hornets,Alabama State,AA,Alabama_State.png,#231f20
Albany Great Danes,Albany,AA,Albany.png,#fcba09
Alcorn State Braves,Alcorn,AA,Alcorn_State.png,#8f199f
Appalachian State Mountaineers,App. State,AA,Appalachian_State.png,#efc638
Arizona State Sun Devils,Arizona State,A,Arizona_State.png,#8e183c
Arizona Wildcats,Arizona,A,Arizona.png,#003256
Arkansas Razorbacks,Arkansas,A,Arkansas.png,#cd1041
Arkansas State Red Wolves,Arkansas State,A,Arkansas_State.png,#ed1b2e
Arkansas Pine Bluff Golden Lions,Arkansas Lions,AA,Arkansas-Pine_Bluff.png,#ecba00
Army Black Knights,Army Black Knights,A,Army.png,#cf9c0e
Auburn Tigers,Auburn,A,Auburn.png,#ff3200
Austin Peay Governors,Austin Peay,AA,Austin_Peay.png,#8e0b0b
Ball State Cardinals,Ball State,A,Ball_State.png,#d50000
Baylor Bears,Baylor,A,Baylor.png,#008649
Bethune-Cookman Wildcats,Bethune-Cookman,AA,Bethune-Cookman.png,#8c0f28
Boise State Broncos,Boise State,A,Boise_State.png,#2d4492
Boston College Eagles,Boston College,A,Boston College.png,#821f1e
Bowling Green Falcons,Bowling,A,Bowling_Green.png,#502500
Brown Bears,Brown,AA,Brown.png,#522e17
Bryant Bulldogs,Bryant,AA,Bryant_University.png,#a59474
Bucknell Bison,Bucknell,AA,Bucknell.png,#ff7000
Buffalo Bulls,Buffalo Bulls,A,Buffalo.png,#0366b1
Butler Bulldogs,Butler,AA,Butler.png,#080808
BYU Cougars,BYU,A,Brigham Young.png,#002d62
Cal Poly Mustangs,Cal Poly,AA,Cal_Poly.png,#123c31
California Golden Bears,California,A,California.png,#ffc423
Campbell Fighting Camels,Campbell,AA,Campbell.png,#ff8a31
Central Arkansas Bears,Cent. Arkansas,AA,Central_Arkansas.png,#4f2683
Central Connecticut State Blue Devils,Cent. Connecticut St.,AA,Central_Connecticut_State.png,#00529b
Central Michigan Chippewas,Cent. Michigan,A,Central_Michigan.png,#780006
Charleston Southern Buccaneers,Charleston,AA,Charleston_Southern.png,#00447c
Chattanooga Mocs,Chattanooga,AA,Chattanooga.png,#eeb311
Cincinnati Bearcats,Cincinnati,A,Cincinnati.png,#151419
Clemson Tigers,Clemson,A,Clemson.png,#f06014
Coastal Carolina Chanticleers,Coastal Carolina,AA,Coastal_Carolina.png,#e7a83b
Colgate Raiders,Colgate,AA,Colgate.png,#a10f21
Colorado Buffaloes,Colorado,A,Colorado.png,#dfcf98
Colorado State Rams,Colorado State,A,Colorado State.png,#008c75
Columbia Lions,Columbia,AA,Columbia.png,#7bc2f1
Cornell Big Red,Cornell,AA,Cornell.png,#d60027
Dartmouth Big Green,Dartmouth,AA,Dartmouth.png,#005730
