Team,DisplayName,ShortDisplayName,Division,Logo,BetterLogos,Color
Air Force Falcons,Air Force,AFA,A,Air_Force.png,air-force-falcons.png,#0061aa
Akron Zips,Akron Zips,Akr,A,Akron.png,Akron_Zips.png,#000d40
Alabama Crimson Tide,Alabama Crimson,Ala,A,Alabama.png,Alabama_Crimson_Tide.png,#a80532
Arizona State Sun Devils,Arizona State,ASU,A,Arizona_State.png,Arizona_St__Sun_Devils.png,#8e183c
Arizona Wildcats,Arizona,Ari,A,Arizona.png,Arizona_Wildcats.png,#003256
Arkansas Razorbacks,Arkansas,Ark,A,Arkansas.png,Arkansas_Razorbacks.png,#cd1041
Arkansas State Red Wolves,Arkansas State,Ark-St,A,Arkansas_State.png,Arkansas_St__Red_Wolves.png,#ed1b2e
Army Black Knights,Army Black Knights,Army,A,Army.png,Army_Black_Knights.png,#cf9c0e
Auburn Tigers,Auburn,Aub,A,Auburn.png,Auburn_Tigers.png,#ff3200
Ball State Cardinals,Ball State,Ball,A,Ball_State.png,Ball_St__Cardinals.png,#d50000
Baylor Bears,Baylor,Bay,A,Baylor.png,Baylor_Bears.png,#008649
Boise State Broncos,Boise State,Boi,A,Boise_State.png,Boise_St__Broncos.png,#2d4492
Boston College Eagles,Boston College,Bos,A,Boston College.png,Boston_College_Eagles.png,#821f1e
Bowling Green Falcons,Bowling,Bowl,A,Bowling_Green.png,Bowling_Green_Falcons.png,#502500
Buffalo Bulls,Buffalo Bulls,BUF,A,Buffalo.png,Buffalo_Bulls.png,#0366b1
BYU Cougars,BYU,BYU,A,Brigham Young.png,BYU_Cougars.png,#002d62
California Golden Bears,California,Cal,A,California.png,California_Golden_Bears.png,#ffc423
Central Michigan Chippewas,Cent. Michigan,CMU,A,Central_Michigan.png,C__Michigan_Chippewas.png,#780006
Cincinnati Bearcats,Cincinnati,CIN,A,Cincinnati.png,Cincinnati_Bearcats.png,#151419
Clemson Tigers,Clemson,Clem,A,Clemson.png,Clemson_Tigers.png,#f06014
Colorado Buffaloes,Colorado,CU,A,Colorado.png,Colorado_Buffaloes.png,#dfcf98
Colorado State Rams,Colorado State,CSU,A,Colorado State.png,Colorado_St__Rams.png,#008c75
Duke Blue Devils,Duke,Duke,A,Duke.png,Duke_Blue_Devils.png,#004c7d
East Carolina Pirates,E. Carolina,ECU,A,East_Carolina.png,East_Carolina_Pirates.png,#fed528
Eastern Michigan Eagles,E. Michigan,EMU,A,Eastern Michigan.png,E__Michigan_Eagles.png,#000002
FIU Golden Panthers,FIU,FIU,A,Florida_International.png,FIU_Golden_Panthers.png,#002d62
Florida Atlantic Owls,Florida Owls,FAU,A,Florida_Atlantic.png,Fla__Atlantic_Owls.png,#004b85
Florida Gators,Florida,Fl,A,Florida.png,Florida_Gators.png,#ff4809
Florida State Seminoles,Florida State,FSU,A,Florida_State.png,Florida_St__Seminoles.png,#900028
Fresno State Bulldogs,Fresno State,Fres,A,Fresno_State.png,Fresno_St__Bulldogs.png,#d5333f
Georgia Bulldogs,Georgia,Geor,A,Georgia.png,Georgia_Bulldogs.png,#010101
Georgia Tech Yellow Jackets,Georgia Tech,GT,A,Georgia_Tech.png,Georgia_Tech_Yellow_Jackets.png,#fdb813
Hawaii Warriors,Hawaii,Haw,A,Hawaii.png,Hawaii_Warriors.png,#004132
Houston Cougars,Houston,Hou,A,Houston.png,Houston_Cougars.png,#c90822
Idaho Vandals,Idaho,Id,A,Idaho_State.png,Idaho_Vandals.png,#000000
Illinois Fighting Illini,Illinois,IL,A,Illinois.png,Illinois_Fighting_Illini.png,#f5873c
Indiana Hoosiers,Indiana,Ind,A,Indiana.png,Indiana_Hoosiers.png,#a82b3d
Iowa Hawkeyes,Iowa,Iowa,A,Iowa.png,Iowa_Hawkeyes.png,#ffd700
Iowa State Cyclones,Iowa State,IowaSt,A,Iowa_State.png,Iowa_St__Cyclones.png,#ffe46a
Kansas Jayhawks,Kansas,KU,A,Kansas.png,Kansas_Jayhawks.png,#e61836
Kansas State Wildcats,Kansas State,KSU,A,Kansas_State.png,Kansas_St__Wildcats.png,#633194
Kent State Golden Flashes,Kent State,Kent,A,Kent_State.png,Kent_St__Golden_Flashes.png,#003875
Kentucky Wildcats,Kentucky,Ky,A,Kentucky.png,Kentucky_Wildcats.png,#003399
Louisiana Tech Bulldogs,Louisiana Tech,LTU,A,Louisiana_Tech.png,Louisiana_Tech_Bulldogs.png,#ef1b22
Louisiana's Ragin' Cajuns,Louisiana,LA-L,A,Louisiana-Lafayette.png,La_-Lafayette_Ragin_Cajuns.png,#d73347
Louisville Cardinals,Louisville,Lou,A,Louisville.png,Louisville_Cardinals.png,#fe0b20
LSU Tigers,LSU,LSU,A,LSU.png,LSU_Tigers.png,#33297b
Marshall Thundering Herd,Marshall,Mars,A,Marshall.png,Marshall_Thundering_Herd.png,#01592f
Maryland Terrapins,Maryland,Mary,A,Maryland.png,Maryland_Terrapins.png,#d30022
Memphis Tigers,Memphis,MEM,A,Memphis.png,Memphis_Tigers.png,#2a2a9b
Miami Hurricanes,Miami,MiaF,A,Miami_(FL).png,Miami_(Fla_)_Hurricanes.png,#e75c2d
Miami RedHawks,Miami RedHawks,MiaO,A,Miami_(OH).png,Miami_(Ohio)_RedHawks.png,#c70a10
Michigan State Spartans,Michigan State,MSU,A,Michigan_State.png,Michigan_St__Spartans.png,#1c453a
Michigan Wolverines,Michigan,Mich,A,Michigan.png,Michigan_Wolverines.png,#00275d
Middle Tennessee Blue Raiders,Mid. Tennessee,MTSU,A,Middle_Tennessee.png,M__Tenn__St__Blue_Raiders.png,#0079c2
Minnesota Golden Gophers,Minnesota,Minn,A,Minnesota.png,Minnesota_Golden_Gophers.png,#7d001b
Mississippi State Bulldogs,Mississippi State,Miss-S,A,Mississippi_State.png,Mississippi_St__Bulldogs.png,#762123
Missouri Tigers,Missouri,Mizz,A,Missouri.png,Missouri_Tigers.png,#eaae09
Navy Midshipmen,Navy,Navy,A,Navy.png,Navy_Midshipmen.png,#f2b129
NC State Wolfpack,NC State,NCSU,A,North_Carolina_State.png,N__Carolina_St__Wolfpack.png,#ef1217
Nebraska Cornhuskers,Nebraska,Neb,A,Nebraska.png,Nebraska_Cornhuskers.png,#f20017
Nevada Wolf Pack,Nevada,Nev,A,Nevada.png,Nevada_Wolf_Pack.png,#153e5f
New Mexico Lobos,New Mexico,NM,A,New_Mexico.png,New_Mexico_Lobos.png,#da1348
